name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	Bio	isotopes	adduct	pcgroup
M80T133_1	M80.0211T133_1	80.0211470144386	80.0211470144386	80.0211470144386	132.6408	132.6408	132.6408	1	1			980
M80T133_2	M80.025T133_2	80.0250387784759	80.0250387784759	80.0250387784759	132.6408	132.6408	132.6408	1	1			981
M80T104	M80.05T104	80.0499773390002	80.0499134085123	80.0499780446474	103.969746	102.447624	103.994568	3	3	[5][M]-		471
M80T1139	M80.05T1139	80.0499726714906	80.0499664063682	80.0500299914636	1138.8693	1137.14406	1139.23236	3	3			45
M80T105_2	M80.1078T105_2	80.1078039794411	80.1078039794411	80.1078039794411	105.306846	105.306846	105.306846	1	1			1656
M80T311	M80.1315T311	80.1315289064434	80.1315203752983	80.1315374375885	310.623324	310.09827	311.148378	2	2	[6][M]-		1174
M81T380	M80.9483T380	80.9483205073495	80.9483012546564	80.9483379449726	379.5486	374.728602	383.728542	3	3			374
M81T1122	M80.9483T1122	80.9483134644062	80.9483134644062	80.9483134644062	1121.57652	1121.57652	1121.57652	1	1			2034
M81T133	M81.0175T133	81.0175465808595	81.0175465808595	81.0175465808595	132.6408	132.6408	132.6408	1	1			982
M81T132	M81.0259T132	81.0259339697108	81.0259339697108	81.0259339697108	132.373404	132.373404	132.373404	1	1			983
M81T875	M81.034T875	81.0339873683317	81.0339873683317	81.0339873683317	875.20488	875.20488	875.20488	1	1			2136
M81T897	M81.034T897	81.0339965639599	81.0339965639599	81.0339965639599	896.9541	896.9541	896.9541	1	1			255
M81T104_1	M81.047T104_1	81.0469768901449	81.0469679612123	81.0469858190774	104.38329	104.261982	104.504598	2	2			475
M81T104_2	M81.0533T104_2	81.0533472156828	81.0532516042462	81.0533501702828	103.994568	102.447624	104.504598	3	3	[5][M+1]-		470
M81T76	M81.0704T76	81.0703615112301	81.0703521601141	81.0703730456087	75.627939	74.451684	76.096398	4	4		[M-2H]2- 164.155	44
M81T312	M81.1285T312	81.1285321133545	81.1285313401218	81.1285328865871	312.227859	310.900554	313.555164	2	2			1179
M81T311	M81.1348T311	81.134839258862	81.1348385105383	81.1348400071857	311.15817	310.900554	311.415786	2	2	[6][M+1]-		1174
M82T104	M82.0567T104	82.0566566632737	82.0566566632737	82.0566566632737	104.237166	104.237166	104.237166	1	1	[5][M+2]-		476
M82T86	M82.4542T86	82.4542299960058	82.4542299960058	82.4542299960058	85.600122	85.600122	85.600122	1	1			2080
M83T380	M82.9453T380	82.9453301494438	82.9453288460618	82.9453439103063	379.816002	378.559506	389.344386	3	2			375
M83T9	M83.0608T9	83.0608195613895	83.0608080205537	83.0608311022254	9.0181683	8.2161558	9.8201808	2	2			1828
M83T109	M83.0608T109	83.0607975395042	83.0607975395042	83.0607975395042	109.075578	109.075578	109.075578	1	1			1745
M83T75	M83.086T75	83.0859983140996	83.0859924454091	83.08600418279	75.305106	75.253944	75.356268	2	2		[M-H-COCH2]- 126.104	44
M84T461	M84.0449T461	84.0448892673881	84.0448758128063	84.0449027219699	460.784823	460.73181	460.837836	2	2		[M-H-HCOOH]- 131.058	41
